,EstablishmentId,Summary
22,121926,"Situated in the heart of Lisbon, the Baixa Pombalina, with the historical St. Georgeâ€™s castle in the background and Rossio square just a few steps away, the hotel has the best location to explore this beautiful city. The hotel has 350 rooms, including 3 suites, all of them equipped and decorated in order to provide maximum comfort in an elegant environment. The panoramic restaurant â€œVaranda de Lisboaâ€� offers a stunning view over the old city as well as excellent cuisine. The tourist tram 28 starts its route in front of the hotel."
23,122060,"This charming 4-star hotel is built on a hillside overlooking the beach of Sesimbra. It has indoor and outdoor pools and a restaurant with ocean views.<br/><br/>The rooms at the Hotel Do Mar feature amenities such satellite TV and a private bathroom. All rooms have a private terrace with ocean views.<br/><br/>Guests can enjoy the Turkish bath, or play a game of tennis.<br/><br/>The restaurant offers an Ã  la carte menu consisting of a range of traditional Portuguese dishes and a selection of Portuguese Wines.<br/><br/>Sesimbra Beach is 10 metres away and is popular for a range of water activities, including scuba diving, sailing and boat trips. Free private parking is available on site."
24,122716,"Situated in the heart of Taksim, the Green Park Hotel features an indoor pool and a spa and wellness centre. The nearest metro is 3 minutesâ€™ walk from the hotel. All guest bedrooms at The Green Park Hotel Taksim have cable TV and a telephone. Every room has an en suite bathroom with a bath and a hairdryer. For guests booking through this web site, the hotel offers a fruit basket. The hotelâ€™s restaurant serves diverse international and local cuisine in a relaxed setting. The fitness centre at Green Park comprises an indoor swimming pool, a saunas and a traditional Turkish hammam. The Blue Mosque and Topkapi Palace are both 3.5 km from the hotel. Green Park Hotel Taksim is 20 km from Ataturk International Airport. Hotel Rooms: 179."
25,189969,"Located in a perfectly restored building from the 19th century, the H10 Universitat Hotel is located in the heart of Barcelona, just 100 metres from the Plaza Catalunya and very close to the gothic quarters. With a modern interior design and comfortable rooms, we take care of all the details so that your stay with us is as pleasant as possible"
26,190413,"The Seashells Resort at Suncrest has been a leading 4 star hotel on the Maltese Islands since its very first days and has kept its tradition of hospitality within the AX group throughout the years. We decided that it was time to give the hotel a face-lift so during the winter months the hotel will be going through an extensive renovation programme with its doors re-opening on the 1st of April 2015.<br/><br/>The property is conveniently located on the Salina to St Paulâ€™s Bay Promenade, merely a few minutesâ€™ walk away from the National Aquarium. Right opposite the hotel entrance guests can also find a very handy bus stop. Take a left outside of the hotel and you will immediately start walking towards all the hustle and bustle of Bugibba and Qawra, the main tourist hub on the island."
27,218837,"Situated in the heart of the city center with many historical buildings within walking distance and a magnificent view of the Indian ocean, the Galadari Hotel offers a rich blend of services and quality in five star luxury living. Step-in to be lost in cozy hideouts, heavenly surrounding and the best of services in the heart of Colombo combined with mouth watering cuisines that promise nothing short of a fine gourmet gratification. Come, delight & breathe an air of luxury at the Galadari."
28,218900,"Housed in a 19th C. building in the Arts district, at the foot of the Old Town, the Tiffany Hotel has the timeless appeal of Art Nouveau style with a contemporary twist. The 65 rooms and suites offer modern technology in a refined setting. Guests will also appreciate the relaxing atmosphere of our wellness area, the atrium with its bright and airy glass ceiling, the library and the cozy atmosphere of the bar."
29,229978,"Hesperia Tower is one of the tallest and most symbolic buildings in the city. The hotel offers 280 luxurious and well equipped guest rooms, all of which feature air-conditioning, telephone, minibar, satellite TV and wireless internet access. Metropolitan Health Club & Spa is completely dedicated to all round health and beauty and combines the latest techniques and design, offering guests a swimming pool, gym, Jacuzzis, sauna, Hammam, Ice fountain, hydro massage, special shower treatment and a chill out area.<br/><br/>Metropolitan Health Club & Spa, open Monday to Friday from 7.00 to 23.00, Saturday, Sunday and public holidays from 9.00 to 22.00. Please consult the special opening times from 24th December to 6th January."
30,231346,"Hotel Schiphol A4 - Amsterdam Airport: Much more than just a hotel.<br/><br/>Hotel Schiphol A4 is much more than just a hotel. It is located in the airport area with a free shuttle bus to- and from the airport.<br/>This free shuttle that runs between 06.00 and 23.40 makes it easy to reach the city center of Amsterdam by taking the train from the airport.<br/>Once you return from an exciting day in Amsterdam the hotel offers many ways to relax. <br/>Enjoy the indoor pool, the welnness center or do your exercises in the gym.<br/>Take a walk in the private park or have a run on the tracking court.<br/>The restaurant offers delicious meals and the cosy hotel bar with itâ€™s nice fire place or outdoor terrace serves a good glas wine, beer or other drink<br/>Hotel Schiphol A4-Amsterdam Airport, for guest who appreciate great service and / or wish"
31,232216,"Located in Dubai Creek Golf & Yacht Club on the banks of the majestic Dubai Creek, Park Hyatt Dubai provides an idyllic setting for a luxury getaway. Nestled in the heart of city, ten minutes from Dubai International Airport, Gold Souk, Dubai Museum and Burj Khalifa, the property offers the perfect base for exploring the city.  <br/><br/>The resort offers 223 luxury rooms including 34 suites; all of which offer stunning views overlooking the Dubai Creek and marina. It is home to an inspired assortment of award-winning restaurants, including the signature French brasserie Traiteur, The Thai Kitchen, CafÃ© Arabesque, The Terrace and The Lounge. Guests looking to unwind can spend time at the award-winning Amara Spa or relax by the stunning 25 meter outdoor swimming pool set amongst palm trees. The property also offers guests a number of leisure activities such as a sea plane tour of the city, private fishing and charter yachts and golfing at Dubai Creek Golf & Yacht Club."
32,237895,"Just a step away from the most ancient civilization.<br/>Footsteps away from the Great Pyramids of Giza, the Cairo Pyramids Hotel is where the glamorous history of Egypt and its world famous hospitality meet. The hotel is the perfect starting point for sightseeing, relaxation and business meetings alike, featuring elegantly appointed rooms and suites, two swimming pools and a variety of bars and restaurants to choose from, all surrounded by lush gardens.<br/>Both the Garden wing and the newly opened Pyramids wing offer guests a gracefully comfortable experience."
33,270802,"The popular Auto Hogar Hotel is situated in an ideal location in the centre of Barcelona just a short walk from the Ramblas, ideal for exploring this historical and culturally rich city. Within the immediate vicinity are many tourist attractions and entertainment venues. Practical guestrooms are well equipped with all the comforts guests may require for a pleasant stay such as satellite TV, balcony, en-suite bathroom and air-conditioning. In addition, the hotel has a bar and a cafÃ©. Guests may also take advantage of the hotel's Internet access as well as the laundry service. Guests may park their cars either in the hotel car park, or in the secure underground parking facility at the Auto Hogar Hotel.."
34,277683,"With free Wi-Fi in public areas, Grand Mogador Menara features a spa, heated swimming pool and a wellness centre. Guests can choose from 3 restaurants serving Moroccan, French and international cuisine.<br/><br/>All the rooms at Grand Mogador Menara have a balcony and are air-conditioned. Admire views over the Congress Palace on the prestigious Avenue Mohammed VI or overlook the swimming pool."
35,336315,"LocationThis hotel is located in the heart of the old town; close to the spectacular Burj Dubai; which provides easy and short access to the airport; the five star dining and entertainment of the old town and to many well-know areas in Dubai; such as the worldâ€™s largest tower; the Dubai mall; and the worldâ€™s largest shopping centre. Dubai International Airport is 10 km from the hotel.<br/><br/>		Location\nThis hotel is located in the heart of the old town, close to the spectacular Burj Dubai, which provides easy and short access to the airport, the five star dining and entertainment of the old town and to many well-know areas in Dubai, such as the world's largest tower, the Dubai mall, and the world's largest shopping centre. Dubai International Airport is 10 km from the hotel.\nFacilities\nThe hotel features 197 accommodation units. The upper floors can be reached by lift."
36,374437,Modern 4 stars hotel in the centre of Mestre completely renovated during 2008 Hotel Delfino is located at only 10 minutes by bus from the historical centre of Venice. The bus stop is in front of the hotel and there is a bus every 10 minutes to Venice and from Venice. Hotel Delfino offers his guests a lot of high quality services: restaurant bar parking multilanguage staff at the reception 24h24 free wi-fi connection.
37,379280,"With a stay at Hotel Hastal Prague Old Town, you'll be centrally located in Prague, steps from St. Agnes Convent and minutes from Gastronomy Museum. This 4-star hotel is within close proximity of Theatre Ungelt and Tyn Church.Rooms <br/>Make yourself at home in one of the 31 air-conditioned rooms featuring minibars. Your room comes with a memory foam bed. Windows open to city and courtyard views. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Private bathrooms with bathtubs or showers feature handheld showerheads and complimentary toiletries.Rec, Spa, Premium Amenities <br/>Treat yourself with massages and body treatments. If you're looking for recreational opportunities, you'll find a 24-hour fitness facility and bicycles to rent. This Art Deco hotel also features complimentary wireless Internet access, concierge services, and babysitting/childcare."
38,383325,"The Red Cow Moran 4 star Hotel in Dublin is recognized as the most conveniently situated Dublin Hotels, located at the Red Cow Intersection, which is the gateway to Ireland's provinces. One of the best located Hotels in Dublin, The Red Cow Moran hotel is accessible from all parts of the country, in addition to Dublin City centre, Dublin Airport and Heuston and Connolly train stations. <br/><br/>Step inside this Hotel in Dublin Ireland and you will be impressed with the sweeping staircase that is framed by Michael Gemmell paintings and stylishly over lit by a remarkable Murano glass chandelier.<br/><br/>One of the best located Dublin hotels, The Red Cow Moran Dublin Hotel boasts luxury hotel accommodation in Dublin, a host of restaurants and bars, along with a regular entertainment line-up. This 4 star hotel in Dublin is situated at the Red Cow Interchange making it easily accessible, an ideal choice for conferences, events and weddings in Dublin."
39,403299,"Millennium Corniche Hotel Abu Dhabi is centrally located in Abu Dhabi, walking distance from Capital Garden and close to The Corniche. This 5-star hotel is within close proximity of Abu Dhabi Commercial Bank and Central Market. Make yourself at home in one of the 305 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms have deep soaking bathtubs and complimentary toiletries. Conveniences include phones, as well as safes and desks."
40,731571,"An urban five star hotel offering the unique experience of genuine hospitality.  Sumptuous decoration cut through with a modern edge design combine a refined classicism with high style in a way that spells luxury.<br/><br/>The 140 spacious bedrooms and designer suites, the only concept suites in Malta,  consist of four distinct suites with different and innovative themes, namely, View, Light, Texture, and Music. These elegantly furnished suites are inspired by the senses, offering a variety of designs based on classical and contemporary styles which are aimed at offering guests an ultimate experience in hospitality.<br/><br/>Dining and entertainment are taken to a new level at The Palace. The Tabloid, serves Mediterranean cuisine in the most unique of surroundings and offers sumptuous dining with a cool, cosmopolitan vibe."
41,739076,"Starhotels Ritz is in Via Spallanzani, near the shops of Milan's Corso Buenos Aires. It offers free access to the fitness centre and spa, and free Wi-Fi in the lobby.<br/><br/>The rooms of the Ritz feature carpets, and furniture in wood leather and velvet. Each room is decorated with giant photos of Milan, and features the famous Starbed with soft goose down.<br/><br/>The wellness area of Ritz Starhotels is on the 8th floor and includes sauna, Turkish bath and Finnish shower. The furnished terrace offers a splendid view of Milan's rooftops.<br/><br/>The Bruschetteria, Grill & BBQ restaurant and bar is open until midnight and serves a wide range of cuisine and drinks. Breakfast is a generous buffet."
42,742949,"The Euro Club Hotel is located in Qawra, the most visited holiday area of Malta. It offers a cozy restaurant, serving Mediterranean and Maltese dishes. You will have the opportunity to enjoy the bar and both indoor and outdoor pools during summer."
43,748565,"Located in Marconi, a pleasant neighbourhood close to Trastevere, the H10 Roma CittÃ  combines the latest style with the essence of Italian tradition. Voted by TripAdvisor users as one of Europe's trendiest hotels, it has 181 rooms, 7 meeting rooms with exterior windows, an outdoor swimming pool and solarium and a Despacio Beauty Centre, as well as a restaurant with signature cuisine."
44,748780,"Der Wilhelmshof - the designhotel between the city center of Vienna and the famous Prater<br/><br/>In the 2nd district of Vienna (the Viennese Leopoldstadt), in the immediate vicinity of the main attractions, the well known Ferris wheel in the Wiener Prater, our design hotel â€œDer Wilhelmshofâ€� is located in a quiet side alley. Der Wilhelmshof is the only hotel in Vienna which has been designed and handcrafted by an artistâ€™s hand. Our family run 4-star hotel in the middle of Vienna and close to the old town impresses not only with the good location, but also with the warm and artistic atmosphere which, together with the modern technical equipment and personal service, is thoroughly tailored to the needs and the well-being of our guests. Besides the Wifi access for our hotel guests -free of charge- we also offer a hotel- owned garage â€“ at a surcharge- in order to make your stay in Vienna perfect.<br/><br/> <br/><br/>Sustainability and environmental protection are a given for us."
45,795498,"The Neo-Baroque NH Collection Madrid Paseo del Prado hotel in Madrid was designed by architect Antonio Palacios, who also stamped his mark on the Palacio de Cibeles, which now serves as the mayorâ€™s office. The hotel has an impeccable location, with the Prado just across the street. Overlooks the cityâ€™s emblematic Neptune Fountain, a 5-minute walk to Buen Retiro Park, with its sculptures and peaceful lake, and the Prado, Thyssen, and Reina Sofia museums are only a stone's throw away, close to vibrant bars and restaurants. The hotelâ€™s 114 rooms are a study in sophistication, right down to the Fabrica de Tapices carpets. Junior Suites and Premium rooms have fabulous views over Neptune Fountain. New mattresses and choice of pillows, 24-hour room service. All the rooms are decorated in muted colors with Fabrica de Tapices carpets."
46,827154,"Luxury Hotel in Madrid<br/><br/>Accessible, affordable luxury in the heights<br/><br/>The ultimate luxury of Madrid: an accessible, affordable luxury accompanied by spectacle, beauty and state-of-the-art technology.<br/><br/>That is the Eurostars Madrid Tower, an acclaimed, prestigious hotel created for clients who love exclusivity. The height makes us unique: the Eurostars Madrid Tower occupies the first 31 floors of the imposing 236-metre-tall SyV Tower. <br/><br/>The SyV Tower was designed by the prestigious architecture studio R&AS run by Carlos Rubio and Enrique Ã�lvarez-Sala and is part of the latest architectural, urban planning and business symbol of Madrid, the Cuatro Torres Business Area, which is also the home of the International Convention Centre of the City of Madrid (CICCM). <br/><br/>** Some Hotel and Room Facilities or Services are with Extra Charge. Please call Hotel for information."
47,860424,"This 4-star hotel is located in Marrakech, 4 km from Marrakech Airport. It offers an outdoor swimming pool and a free shuttle bus to the city centre every 2 hours."
48,860616,"Property Location <br/>With a stay at Aspen Suites Bangkok Nana Sukhumvit Hotel in Bangkok (Sukhumvit), you'll be convenient to Embassy of the United States and Lumpini Park. This 4-star hotel is within close proximity of Embassy of Switzerland and Terminal 21 Shopping Mall.Rooms <br/>Make yourself at home in one of the 59 air-conditioned rooms featuring kitchenettes with refrigerators and microwaves. 32-inch LCD televisions and DVD players are provided, while high-speed (wired) Internet access (surcharge) keeps you connected. Conveniences include direct-dial phones, as well as safes and desks.Rec, Spa, Premium Amenities <br/>Enjoy recreational amenities such as an outdoor pool and a fitness facility. Additional features include complimentary wireless Internet access, concierge services, and babysitting/childcare. Guests can catch a ride on the complimentary shuttle, which operates within 1 km.Dining <br/>Satisfy your appetite at the hotel's restaurant, which serves breakfast, lunch, and dinner."
49,865339,English
50,865382,The 4 Star Monroe Hotel Is Located In Downtown Beirut Overlooking The Solidere Marina Yacht Club And Mediterranean Sea. In The Heart Of The Business District The Hotel Is Close So The Shopping Centers Restaurants Night Clubs As Well As In Close Proximity To All Of Lebanons Archaeological Site And Major Ski Resorts. All Rooms Are Modern And Include Satellite Tv Hairdryer Mini Bar In Room Safe Voice Mail And Complimentary High Speed Internet Connection.
51,905551,"Located less than one mile from Marrakech Oncf train station, Mogador Express Gueliz  is a large city-centre hotel offering relaxing leisure facilities and air-conditioned rooms with free Wi-Fi.<br/><br/>This hotelâ€™s 292 rooms are all non-smoking. All units come with flat-screen TV with satellite channels and some have private furnished patios. Spacious family rooms with cots/cribs are available.<br/><br/>As well as a spa offering indulgent treatments and massage, Mogador Express Gueliz also has an outdoor lap-pool, a huge fitness room, a sauna and a Turkish bath.<br/><br/>Moroccan and international cuisine is served at this hotelâ€™s three restaurants. A buffet is offered for breakfast, lunch and dinner along with a-la-carte menus.<br/><br/>From this property, the Theatre Royal and Conference Palace are within one mile, UNESCO World Heritage Site Jamaa El Fna is two miles and Marrakech-Menara International Airport is 3.4 miles."
52,1164268,"5*GL Monument, 15 luxurious rooms, 2** Michelin, Spa, Bang & Olufsen TV,  gourmet experience, jacuzzi with chromo therapy, gastronomy, architecture, design, Zen garden, terrace, Lounge Bar,  HermÃ©s,  meetings, technology, professional.<br/>ABaC Restaurant Hotel is a unique gastronomic experience surrounded with gardens, in the heart of the city. <br/>The restaurant headed by Chef Jordi Cruz, is awarded with 2** Michelin, and nominated by The Best Restaurant 2011 in Catalonia by the Catalan Academy of Gastronomy, can seat up to 56 diners. <br/>Offers 15 luxurious rooms, including suites.  All rooms enjoy a stylish, contemporary dÃ©cor, are completely soundproofed, and are fitted with state of the art technical features to ensure maximum comfort. Amenities: HermÃ©s. â€œNespressoâ€� coffee machine.<br/>Completes hotel facilities: Spa completely equipped. Lounge bar.<br/><br/>NR: HB004321"
